year,league,kind,date,time,home,homescore,awayscore,away,stadium,viewers,broadcasts
2021,Ｊ１,第９節第１日,04/10,14:03,広島,0,1,湘南,Ｅスタ,7085,ＤＡＺＮ
2021,Ｊ１,第９節第１日,04/10,15:03,Ｃ大阪,2,2,福岡,ヤンマー,4607,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,13:08,札幌,2,2,鹿島,札幌ド,10342,ＤＡＺＮ／ＮＨＫ札幌
2021,Ｊ１,第９節第２日,04/11,14:03,FC東京,2,4,川崎Ｆ,味スタ,17615,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,14:04,仙台,0,0,横浜FM,ユアスタ,4355,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,15:03,大分,0,3,名古屋,昭和電ド,5919,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,15:03,鳥栖,3,0,横浜FC,駅スタ,7334,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,16:01,浦和,1,0,徳島,埼玉,9972,ＤＡＺＮ／ＮＨＫ　ＢＳ１／テレ玉
2021,Ｊ１,第９節第２日,04/11,17:03,柏,1,0,Ｇ大阪,三協Ｆ柏,5555,ＤＡＺＮ
2021,Ｊ１,第９節第２日,04/11,17:03,神戸,1,1,清水,ノエスタ,8350,ＤＡＺＮ
