year,league,kind,date,time,home,homescore,awayscore,away,stadium,viewers,broadcasts
2021,Ｊ１,第７節第１日,04/02,19:03,Ｃ大阪,1,0,鳥栖,ヤンマー,7014,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,13:03,横浜FM,1,1,湘南,日産ス,9152,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,14:03,広島,0,0,Ｇ大阪,Ｅスタ,8665,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,14:03,名古屋,0,0,FC東京,豊田ス,15035,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,14:03,仙台,0,2,神戸,ユアスタ,4619,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,14:03,福岡,1,2,札幌,ベススタ,4432,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,15:04,浦和,2,1,鹿島,埼玉,9975,ＤＡＺＮ／テレ玉
2021,Ｊ１,第７節第２日,04/03,17:03,横浜FC,1,1,柏,ニッパツ,3941,ＤＡＺＮ
2021,Ｊ１,第７節第２日,04/03,19:01,川崎Ｆ,2,0,大分,等々力,9810,ＤＡＺＮ／ＮＨＫ　ＢＳ１
2021,Ｊ１,第７節第３日,04/04,14:03,清水,0,3,徳島,アイスタ,7464,ＤＡＺＮ
